127.0.0.1 - - [09/Jun/2026 11:08:58] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:10:06] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:10:06] "GET /main.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:10:06] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:10:06] "GET /data.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:11:07] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:11:07] "GET /main.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:11:07] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:11:07] "GET /data.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:11:29] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:11:29] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:11:29] "GET /main.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:11:29] "GET /data.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:12:19] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:12:19] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:12:19] "GET /main.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:12:19] "GET /data.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:13:09] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:13:09] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:13:09] "GET /main.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:13:09] "GET /data.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:13:42] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:13:42] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:13:42] "GET /main.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:13:42] "GET /data.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:14:13] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:14:13] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:14:13] "GET /main.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:14:13] "GET /data.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:14:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:14:40] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:14:40] "GET /main.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:14:40] "GET /data.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:15:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jun/2026 11:15:16] "GET /style.css HTTP/1.1" 200 -
